year,Sundhedsråd_navn,Sundhedsråd_kode,mand,alder_18_34,alder_35_44,alder_45_54,alder_55_64,alder_65_74,alder_75_,enlig,samlev,opr_land_dk,opr_land_vest,opr_land_ikke_vest,dispon_13,socio_arbløs,socio_beskæft,socio_overførsel,socio_pension,socio_stud,socio_øvrige,udd_Grund,udd_Gym,udd_Erhverv,udd_KVU,udd_MVU,udd_LVU,udd_NA,mr,ct,rgt,FP,ryg_pt,incident
2010,Vestjylland,6,.47588971,.16893294,.19361347,.2240255,.20168436,.13638623,.075357489,.38304529,.61695468,.92879492,.022545837,.048659239,199023.5326574488,.017662369,.53694767,.16843583,.24151242,.019592362,.015732374,.38111532,.023364622,.40480158,.031991109,.11498085,.020966752,.022779776,.056291487,.0090943649,.08708366,.0097961808,34197,1103
2010,Midt,7,.47170579,.17708015,.19638322,.21788751,.19946493,.13525687,.073927328,.40302753,.59697247,.94032985,.020420603,.039249551,200651.1104848262,.015848827,.54881644,.1584544,.24017067,.021605879,.015036066,.33807445,.024619864,.4119679,.035964645,.13535847,.032442685,.021572014,.030884894,.010193369,.10833418,.0083646588,29529,1241
2010,Fyn,8,.46426746,.18497439,.19783139,.21528538,.19120587,.13315237,.077550605,.43515316,.56484681,.91027832,.022094771,.067626931,196100.6843546824,.019219823,.50850081,.17972068,.24156852,.033112969,.017775053,.33828059,.035579294,.39319643,.035812791,.13788071,.033258907,.025991272,.048304949,.0054142405,.08302322,.010186361,68523,3092
2010,Trekantsområdet,9,.46702844,.1803042,.20634289,.21308905,.1923278,.13372831,.07420776,.4167932,.58320677,.9096114,.02295188,.06743671,204442.1164985861,.019367205,.53566003,.16653804,.2403724,.021308905,.016703593,.34943119,.026685918,.39640537,.03671803,.13472405,.030942719,.025092728,.06753628,.0057753106,.087227106,.009808071,40171,1691
2010,Sydvestjylland,10,.47753131,.18782178,.19913557,.22036484,.18861629,.13271467,.071346849,.4159728,.58402723,.93151337,.025487829,.042998791,199100.4580001271,.013443082,.53505373,.18295938,.22875485,.022532256,.017193161,.3718299,.022595817,.40834552,.035562195,.11723765,.020402975,.024025932,.073412575,.0071187951,.091018878,.01042395,31466,1303
2010,Sønderjylland,11,.47422382,.15971072,.18338126,.22412942,.20170777,.15175278,.079318054,.4026604,.59733963,.9053179,.046614967,.048067149,187639.7503028477,.016293457,.50576514,.17127007,.26818854,.019430164,.018820249,.37289071,.021056606,.41111207,.032122217,.11443176,.022741135,.025645494,.084081203,.0083355112,.088960528,.0089744711,34431,1337
2010,Hovedstaden,12,.46751824,.25448862,.19866849,.17724369,.16325174,.11491367,.091433778,.60793,.39207,.79163438,.049199492,.15916614,195374.1293004974,.026002634,.48921376,.17699757,.22355127,.052472897,.031429593,.29763356,.085674554,.29012689,.033189353,.15450215,.08850494,.050368566,.036954995,.0099186571,.056435436,.0064852759,81261,3204
2010,Hovedstaden Syd og Vest,13,.46343863,.19075495,.19840029,.20682782,.17806318,.13678341,.089170367,.43409365,.56590635,.79569542,.027881511,.17642309,199666.7824893855,.022355672,.52114451,.15722144,.25100929,.022153815,.025888171,.36041582,.042162899,.39844066,.032827009,.10279572,.028739402,.034618489,.042137668,.0079228906,.073551677,.0065603554,39632,1671
2010,Hovedstaden Nord,14,.45097366,.14709812,.1888507,.20492554,.18102328,.15351279,.12458954,.43728521,.56271476,.87101948,.037285224,.091695301,258785.2655324784,.013344788,.53270334,.11542574,.28787705,.025353188,.02521955,.25290188,.050229095,.34904543,.038258877,.16531119,.10906835,.035185184,.044215348,.0096029015,.068308517,.0064719357,52380,1915
2010,Nordsjælland,15,.46540225,.14216828,.1977551,.20498808,.19829087,.16643897,.090358704,.40327895,.59672105,.89244288,.031316135,.076240994,221411.7481337726,.015430363,.53312439,.13464063,.2749337,.018189611,.02368132,.28851563,.037236463,.38096386,.038656272,.16126873,.063301988,.03005706,.040960111,.0068847276,.088510275,.0060542743,37329,1216
2010,Østsjælland og ørene,16,.4682849,.1571245,.19885163,.2073919,.2030803,.15287508,.080676585,.41749927,.5825007,.92371792,.022863895,.053418182,198979.6916897244,.015401517,.51046807,.16750965,.26576427,.021143403,.019609468,.3465445,.027444964,.42035985,.03123834,.11844451,.031694375,.024273455,.031839475,.0060320883,.088864475,.0080013266,48242,1650
